TimeGenerated [UTC],Id,Source,Name,Url,Success,ResultCode,DurationMs,PerformanceBucket,Properties,Measurements,OperationName,OperationId,OperationLinks,ParentId,SyntheticSource,SessionId,UserId,UserAuthenticatedId,UserAccountId,AppVersion,AppRoleName,AppRoleInstance,ClientType,ClientModel,ClientOS,ClientIP,ClientCity,ClientStateOrProvince,ClientCountryOrRegion,ClientBrowser,ResourceGUID,IKey,SDKVersion,ItemCount,ReferencedItemId,ReferencedType,SourceSystem,Type
"8/5/2021, 8:31:01.607 AM",a43d9d3db176e646,,GET /,https://reliabilitybaselinetestapp.azurewebsites.net/,TRUE,200,41.1069,<250ms,"{""_MS.ProcessedByMetricExtractors"":""(Name:'Requests', Ver:'1.1')"",""AspNetCoreEnvironment"":""Production""}",,GET /,0dba9a88174c463f89a785d5c307224a,,|0dba9a88174c463f89a785d5c307224a.0,Application Insights Availability Monitoring,0dba9a88174c463f89a785d5c307224a,us-va-ash-azr_0dba9a88174c463f89a785d5c307224a,,,1.0.0.0,reliabilitybaselinetestapp,pd0sdwk00001O,PC,,,0.0.0.0,Washington,Virginia,United States,,4f5f56c9-08bb-4c62-8a23-6851c37c6322,0039f293-29a6-4dc9-a833-1b298e46406a,ar_aspnet5c:2.8.0,1,,,Azure,AppRequests
"8/5/2021, 8:31:05.785 AM",3b9d85c392bc4b4c,,GET /,https://reliabilitybaselinetestapp.azurewebsites.net/,TRUE,200,15.2578,<250ms,"{""_MS.ProcessedByMetricExtractors"":""(Name:'Requests', Ver:'1.1')"",""AspNetCoreEnvironment"":""Production""}",,GET /,fdf9736486514bafbfc5da400739b516,,|fdf9736486514bafbfc5da400739b516.0,Application Insights Availability Monitoring,fdf9736486514bafbfc5da400739b516,emea-ru-msa-edge_fdf9736486514bafbfc5da400739b516,,,1.0.0.0,reliabilitybaselinetestapp,pd0sdwk00001O,PC,,,0.0.0.0,London,England,United Kingdom,,4f5f56c9-08bb-4c62-8a23-6851c37c6322,0039f293-29a6-4dc9-a833-1b298e46406a,ar_aspnet5c:2.8.0,1,,,Azure,AppRequests
"8/5/2021, 8:32:39.148 AM",d1141a3cbb1e6048,,GET /,https://reliabilitybaselinetestapp.azurewebsites.net/,TRUE,200,22.55,<250ms,"{""_MS.ProcessedByMetricExtractors"":""(Name:'Requests', Ver:'1.1')"",""AspNetCoreEnvironment"":""Production""}",,GET /,ecdda49430dc344da99b79ebbf57daeb,,ecdda49430dc344da99b79ebbf57daeb,,,,,,1.0.0.0,reliabilitybaselinetestapp,pd0sdwk00001O,PC,,,0.0.0.0,,,India,,4f5f56c9-08bb-4c62-8a23-6851c37c6322,0039f293-29a6-4dc9-a833-1b298e46406a,ar_aspnet5c:2.8.0,1,,,Azure,AppRequests
"8/5/2021, 8:32:40.608 AM",7c9c5feaaa0b2248,,GET /images/arrow-right.svg,https://reliabilitybaselinetestapp.azurewebsites.net/images/arrow-right.svg,TRUE,200,1.016,<250ms,"{""_MS.ProcessedByMetricExtractors"":""(Name:'Requests', Ver:'1.1')"",""AspNetCoreEnvironment"":""Production""}",,GET /images/arrow-right.svg,ecb498e3fbd5b849878f94920c0feed8,,ecb498e3fbd5b849878f94920c0feed8,,,,,,1.0.0.0,reliabilitybaselinetestapp,pd0sdwk00001O,PC,,,0.0.0.0,,,India,,4f5f56c9-08bb-4c62-8a23-6851c37c6322,0039f293-29a6-4dc9-a833-1b298e46406a,ar_aspnet5c:2.8.0,1,,,Azure,AppRequests
"8/5/2021, 8:32:42.360 AM",33569890c77f1e43,,GET /,https://reliabilitybaselinetestapp.azurewebsites.net/?pageId=1,TRUE,200,16.4646,<250ms,"{""_MS.ProcessedByMetricExtractors"":""(Name:'Requests', Ver:'1.1')"",""AspNetCoreEnvironment"":""Production""}",,GET /,bec11ce7bda8474d8a2627b7ad6d5f8e,,bec11ce7bda8474d8a2627b7ad6d5f8e,,,,,,1.0.0.0,reliabilitybaselinetestapp,pd0sdwk00001O,PC,,,0.0.0.0,,,India,,4f5f56c9-08bb-4c62-8a23-6851c37c6322,0039f293-29a6-4dc9-a833-1b298e46406a,ar_aspnet5c:2.8.0,1,,,Azure,AppRequests
"8/5/2021, 8:32:42.623 AM",15f8f285d9fabe47,,GET /images/arrow-right.svg,https://reliabilitybaselinetestapp.azurewebsites.net/images/arrow-right.svg,TRUE,200,0.7813,<250ms,"{""_MS.ProcessedByMetricExtractors"":""(Name:'Requests', Ver:'1.1')"",""AspNetCoreEnvironment"":""Production""}",,GET /images/arrow-right.svg,f4c157a40e9c7e4b8e873efbd3487d8f,,f4c157a40e9c7e4b8e873efbd3487d8f,,,,,,1.0.0.0,reliabilitybaselinetestapp,pd0sdwk00001O,PC,,,0.0.0.0,,,India,,4f5f56c9-08bb-4c62-8a23-6851c37c6322,0039f293-29a6-4dc9-a833-1b298e46406a,ar_aspnet5c:2.8.0,1,,,Azure,AppRequests
"8/5/2021, 8:32:43.405 AM",ff1c92f717b7b643,,POST /Basket,https://reliabilitybaselinetestapp.azurewebsites.net/Basket,FALSE,400,0.8567,<250ms,"{""_MS.ProcessedByMetricExtractors"":""(Name:'Requests', Ver:'1.1')"",""AspNetCoreEnvironment"":""Production""}",,POST /Basket,d00c24656c842d4fb57b0dc29ec86640,,d00c24656c842d4fb57b0dc29ec86640,,,,,,1.0.0.0,reliabilitybaselinetestapp,pd0sdwk00001O,PC,,,0.0.0.0,,,India,,4f5f56c9-08bb-4c62-8a23-6851c37c6322,0039f293-29a6-4dc9-a833-1b298e46406a,ar_aspnet5c:2.8.0,1,,,Azure,AppRequests
"8/5/2021, 8:32:43.655 AM",4ca93b1575681f41,,GET /Basket,https://reliabilitybaselinetestapp.azurewebsites.net/Basket,TRUE,200,12.096,<250ms,"{""_MS.ProcessedByMetricExtractors"":""(Name:'Requests', Ver:'1.1')"",""AspNetCoreEnvironment"":""Production""}",,GET /Basket,5ce3d09398896f448567000d08c9c84e,,5ce3d09398896f448567000d08c9c84e,,,,,,1.0.0.0,reliabilitybaselinetestapp,pd0sdwk00001O,PC,,,0.0.0.0,,,India,,4f5f56c9-08bb-4c62-8a23-6851c37c6322,0039f293-29a6-4dc9-a833-1b298e46406a,ar_aspnet5c:2.8.0,1,,,Azure,AppRequests
"8/5/2021, 8:33:34.311 AM",3d4c1dd8a8184e4e,,GET /,http://reliabilitybaselinetestapp.azurewebsites.net/,TRUE,307,0.3113,<250ms,"{""_MS.ProcessedByMetricExtractors"":""(Name:'Requests', Ver:'1.1')"",""AspNetCoreEnvironment"":""Production""}",,GET /,698b907314759948878b72f694b6d642,,698b907314759948878b72f694b6d642,,,,,,1.0.0.0,reliabilitybaselinetestapp,pd0sdwk00001O,PC,,,0.0.0.0,,,,,4f5f56c9-08bb-4c62-8a23-6851c37c6322,0039f293-29a6-4dc9-a833-1b298e46406a,ar_aspnet5c:2.8.0,1,,,Azure,AppRequests
"8/5/2021, 8:33:34.311 AM",3d4c1dd8a8184e4e,,GET /,http://reliabilitybaselinetestapp.azurewebsites.net/,TRUE,307,0.3113,<250ms,"{""_MS.ProcessedByMetricExtractors"":""(Name:'Requests', Ver:'1.1')"",""AspNetCoreEnvironment"":""Production""}",,GET /,698b907314759948878b72f694b6d642,,698b907314759948878b72f694b6d642,,,,,,1.0.0.0,reliabilitybaselinetestapp,pd0sdwk00001O,PC,,,0.0.0.0,,,,,4f5f56c9-08bb-4c62-8a23-6851c37c6322,0039f293-29a6-4dc9-a833-1b298e46406a,ar_aspnet5c:2.8.0,1,,,Azure,AppRequests
